#kx 	 Dy 	 DP 	 WW 	 (DP-WW)/DP 
50.2655	185.354	-1.82346e-05	-0.0202365	-1108.79
50.2655	186.925	-0.00206209	-0.0112864	-4.47326
50.2655	188.496	-0.0022457	-0.00561269	-1.49931
50.2655	190.066	-0.00159195	-0.00729174	-3.58038
50.2655	191.637	-0.00114053	-0.00773876	-5.78526
50.2655	193.208	-0.00167569	-0.0088038	-4.25382
50.2655	194.779	-0.0024489	-0.0132119	-4.39504
50.2655	196.35	-0.00091965	-0.0144303	-14.6911
50.2655	197.92	0.000872903	-0.0141742	17.238
50.2655	199.491	4.45399e-08	0.014763	-331454

51.0509	0	-0.0026438	0.000104119	1.03938
51.0509	1.5708	0.000922867	-0.000151023	1.16365
51.0509	3.14159	-0.0231049	-0.000120459	0.994786
51.0509	4.71239	-0.0121777	-8.07579e-05	0.993368
51.0509	6.28319	0.00315131	-8.84747e-05	1.02808
51.0509	7.85398	0.00523976	-0.000139354	1.0266
51.0509	9.42478	0.00239007	-0.000241521	1.10105
51.0509	10.9956	-0.000416127	-6.67034e-05	0.839704
51.0509	12.5664	0.00230929	-3.35511e-05	1.01453
51.0509	14.1372	0.00904657	-0.000215706	1.02384
51.0509	15.708	0.0110156	-7.35251e-05	1.00667
51.0509	17.2788	0.00626158	0.000144727	0.976886
51.0509	18.8496	0.0017405	0.000185359	0.893503
51.0509	20.4204	4.73343e-05	0.000164418	-2.47354
51.0509	21.9911	-0.0018374	0.000129528	1.0705
51.0509	23.5619	-0.00353181	1.41183e-05	1.004
51.0509	25.1327	-0.00214236	-7.28817e-05	0.965981
51.0509	26.7035	-0.00265603	-0.00028805	0.891549
51.0509	28.2743	-0.00418509	-0.000379547	0.90931
51.0509	29.8451	-0.0037348	0.000131707	1.03526
51.0509	31.4159	-0.00231657	0.000215949	1.09322
51.0509	32.9867	-0.00151639	-0.000261123	0.8278
51.0509	34.5575	-0.000518718	-0.000625706	-0.206255
51.0509	36.1283	-0.000311551	-0.000447921	-0.437716
51.0509	37.6991	-0.000688626	-0.000190896	0.722788
51.0509	39.2699	-0.00045435	-0.000220822	0.513983
51.0509	40.8407	8.73067e-05	-0.000498987	6.71533
51.0509	42.4115	0.00017708	-0.000431501	3.43677
51.0509	43.9823	0.000134119	0.00032102	-1.39355
51.0509	45.5531	-0.000439173	0.000416398	1.94814
51.0509	47.1239	-0.00101649	8.32694e-05	1.08192
51.0509	48.6947	-0.000938409	-0.000382718	0.592163
51.0509	50.2655	-0.000219444	-0.000826728	-2.76738
51.0509	51.8363	0.000609812	-0.000721104	2.1825
51.0509	53.4071	0.00072265	-0.00045067	1.62364
51.0509	54.9779	0.00037334	-0.000301643	1.80796
51.0509	56.5487	1.39001e-05	-0.00034376	25.7308
