#b 	 momk 	 non Elliptic 	 Smat 	 Smat Fderiv 	 Smat Sderiv 
4.94975	0.111111	-3.93232	20.6665	-24.6178	-27.0953
4.99394	0.111111	-1.57402	19.5583	-25.4	-8.30765
5.03814	0.111111	-3.61813	18.4223	-26.1205	-24.2928
5.08233	0.111111	-1.66002	17.2494	-26.8489	-8.67602
5.12652	0.111111	-3.18575	16.0506	-27.4954	-20.5829
5.17072	0.111111	-1.72465	14.819	-28.1471	-8.90551
5.21491	0.111111	-2.74642	13.5639	-28.7161	-16.8482
5.25911	0.111111	-1.708	12.2809	-29.2769	-8.52539
5.3033	0.111111	-2.31756	10.9773	-29.7575	-13.2296
5.3475	0.111111	-1.58913	9.651	-30.2129	-7.37398
5.39169	0.111111	-1.93249	8.30784	-30.5966	-9.99379
5.43588	0.111111	-1.34263	6.94756	-30.9335	-5.25344
5.48008	0.111111	-1.55653	5.57464	-31.2015	-6.87153
5.52427	0.111111	-1.09262	4.19035	-31.4228	-3.14578
5.56847	0.111111	-1.17643	2.79819	-31.5754	-3.7565
5.61266	0.111111	-0.705622	1.40043	-31.6584	4.44089e-16

0.0441942	0.222222	2.34696	17.8916	0.242059	9.51953
0.0883883	0.222222	2.07137	17.9105	0.588504	6.15881
0.132583	0.222222	5.67194	17.9505	1.40216	30.6624
0.176777	0.222222	1.70948	18.0319	2.04378	-1.62571
0.220971	0.222222	4.78668	18.1286	2.5126	22.8424
0.265165	0.222222	1.00706	18.2524	2.8739	-6.49216
0.309359	0.222222	5.58707	18.3848	3.38331	29.5456
0.353553	0.222222	-0.13939	18.5486	3.69967	-15.2288
0.397748	0.222222	3.39024	18.7067	3.66916	13.8482
0.441942	0.222222	-0.582749	18.8725	3.61059	-16.4989
0.486136	0.222222	5.78601	19.0323	3.99102	33.7153
0.53033	0.222222	1.96512	19.2315	4.79515	2.67532
0.574524	0.222222	3.75533	19.4506	5.22365	16.7167
0.618718	0.222222	1.78377	19.6927	5.61767	1.11462
0.662913	0.222222	4.83408	19.9498	6.19223	24.8868
0.707107	0.222222	5.09988	20.2481	7.31497	25.9225
0.751301	0.222222	2.46399	20.5898	7.99272	4.74923
0.795495	0.222222	2.40429	20.9476	8.19799	4.54021
0.839689	0.222222	2.99978	21.3159	8.50483	9.34618
0.883883	0.222222	4.20505	21.7039	9.12223	18.594
0.928078	0.222222	2.94471	22.1219	9.71892	8.40865
0.972272	0.222222	1.14136	22.5551	9.78307	-5.50554
1.01647	0.222222	2.41199	22.9855	9.76952	4.89274
1.06066	0.222222	2.36128	23.4219	9.97946	4.60864
1.10485	0.222222	3.18488	23.8695	10.3262	11.0856
1.14905	0.222222	2.51214	24.335	10.6976	5.71825
1.19324	0.222222	2.06747	24.8122	10.875	2.3091
1.23744	0.222222	1.08725	25.2927	10.8122	-5.14903
1.28163	0.222222	2.51776	25.7692	10.8383	6.33252
1.32583	0.222222	0.843986	26.2502	10.8304	-6.69017
1.37002	0.222222	1.95584	26.7252	10.7341	2.32864
1.41421	0.222222	0.913567	27.1992	10.6596	-5.69697
1.45841	0.222222	1.66763	27.6668	10.5442	0.47215
1.5026	0.222222	1.4535	28.1327	10.5305	-1.08888
1.5468	0.222222	1.52003	28.5973	10.4969	-0.433344
1.59099	0.222222	1.41344	29.0605	10.4618	-1.15594
1.63518	0.222222	0.973354	29.5206	10.3375	-4.46789
1.67938	0.222222	1.40012	29.9743	10.2178	-0.950173
1.72357	0.222222	0.877505	30.4236	10.0878	-4.93394
1.76777	0.222222	0.909336	30.8648	9.87917	-4.50542
1.81196	0.222222	0.510137	31.296	9.61479	-7.46034
1.85616	0.222222	0.684276	31.7142	9.31991	-5.88277
1.90035	0.222222	0.582436	32.1201	9.04617	-6.50624
1.94454	0.222222	0.639433	32.5137	8.77239	-5.88499
1.98874	0.222222	0.387283	32.8951	8.47216	-7.7
2.03293	0.222222	0.37666	33.262	8.13416	-7.59749
2.07713	0.222222	0.232895	33.6138	7.77741	-8.54521
2.12132	0.222222	0.310969	33.9494	7.41742	-7.74735
2.16551	0.222222	0.128083	34.2692	7.04712	-9.01217
2.20971	0.222222	0.230477	34.5722	6.67053	-8.02804
2.2539	0.222222	0.0795569	34.8588	6.2932	-9.04967
2.2981	0.222222	0.16756	35.1284	5.91224	-8.1886
2.34229	0.222222	0.0434725	35.3814	5.53229	-9.00759
2.38649	0.222222	0.129382	35.6174	5.15259	-8.17305
2.43068	0.222222	0.0666474	35.837	4.78374	-8.52076
2.47487	0.222222	0.0973998	36.0402	4.41575	-8.13425
2.51907	0.222222	0.107289	36.2275	4.06093	-7.921
