#b 	 momk 	 DP 	 WW 
0	3	-11.9026	-0.381301
0.0441942	3	-5.61561	-10.4808
0.0883883	3	1.07779	-5.57283
0.132583	3	1.17773	-15.4946
0.176777	3	12.4001	-5.99991
0.220971	3	4.1971	-5.53022
0.265165	3	10.5052	-7.92371
0.309359	3	18.2996	-8.57663
0.353553	3	29.3907	-8.29624
0.397748	3	20.701	-25.6308
0.441942	3	1.05914	-11.0116
0.486136	3	14.2922	-7.24334
0.53033	3	-12.0867	1.27232
0.574524	3	0.38273	-3.52619
0.618718	3	-8.25257	-13.0082
0.662913	3	12.7616	-4.11386
0.707107	3	15.5158	1.07707
0.751301	3	1.52599	-6.25018
0.795495	3	6.19424	0.400632
0.839689	3	7.16902	3.94769
0.883883	3	-2.71719	-2.00768
0.928078	3	1.93903	-1.55486
0.972272	3	8.09026	-0.862514
1.01647	3	8.72442	1.12598
1.06066	3	9.22502	-1.9278
1.10485	3	7.55427	-0.850784
1.14905	3	6.05417	-0.438014
1.19324	3	5.34589	0.054369
1.23744	3	4.77784	0.65599
1.28163	3	3.96437	0.708524
1.32583	3	3.19233	0.653807
1.37002	3	2.63146	0.60646
1.41421	3	2.1145	0.488905
1.45841	3	1.71327	0.361127
1.5026	3	1.35778	0.269207
1.5468	3	1.07193	0.179237
1.59099	3	0.823002	0.124321
1.63518	3	0.629829	0.0751279
1.67938	3	0.468289	0.0495423
1.72357	3	0.345682	0.0273593
1.76777	3	0.247876	0.0170234
1.81196	3	0.175716	0.00888765
1.85616	3	0.121182	0.00543284
1.90035	3	0.0822929	0.00323453
1.94454	3	0.054387	0.00229144
1.98874	3	0.0352965	0.00201619
2.03293	3	0.0223459	0.00166837
2.07713	3	0.0138779	0.00176591
2.12132	3	0.00847373	0.00150304
2.16551	3	0.00509729	0.00147876
2.20971	3	0.00308233	0.00122672
2.2539	3	0.00188671	0.00108934
2.2981	3	0.00122442	0.000871139
2.34229	3	0.000828684	0.000716396
2.38649	3	0.000619774	0.00055151
2.43068	3	0.00047865	0.000424671
2.47487	3	0.000397809	0.000315483
2.51907	3	0.000326163	0.000229396
2.56326	3	0.000275636	0.000163315
2.60746	3	0.000224492	0.000113077
2.65165	3	0.000183832	7.70008e-05
2.69584	3	0.000144948	5.13753e-05
2.74004	3	0.000113573	3.36657e-05
2.78423	3	8.67582e-05	2.24986e-05
2.82843	3	6.53156e-05	1.41603e-05
2.87262	3	4.88149e-05	9.6312e-06
